iter	Passed	Remaining
0	0	116
1	0	97
2	1	90
3	1	91
4	2	88
5	2	88
6	3	85
7	3	83
8	3	81
9	4	79
10	4	80
11	5	78
12	5	77
13	5	76
14	6	76
15	6	75
16	6	74
17	7	73
18	7	73
19	8	72
20	8	71
21	8	71
22	9	70
23	9	70
24	10	70
25	10	69
26	10	70
27	11	69
28	11	69
29	12	68
30	12	68
31	12	67
32	13	67
33	13	66
34	14	67
35	14	66
36	15	66
37	15	66
38	15	65
39	16	65
40	16	65
41	17	64
42	17	64
43	18	64
44	18	64
45	19	63
46	19	63
47	19	63
48	20	62
49	20	62
50	21	61
51	21	61
52	21	60
53	22	60
54	22	59
55	23	59
56	23	59
57	23	58
58	24	58
59	24	57
60	25	57
61	25	56
62	25	56
63	26	55
64	26	55
65	27	54
66	27	54
67	27	53
68	28	53
69	28	53
70	29	52
71	29	52
72	29	51
73	30	51
74	30	51
75	31	50
76	31	50
77	31	49
78	32	49
79	32	48
80	32	48
81	33	47
82	33	47
83	34	47
84	34	46
85	34	46
86	34	45
87	35	44
88	35	44
89	36	44
90	36	43
91	36	43
92	37	42
93	37	42
94	37	41
95	38	41
96	38	40
97	38	40
98	39	40
99	39	39
100	40	39
101	40	38
102	40	38
103	41	38
104	41	37
105	42	37
106	42	37
107	43	36
108	43	36
109	43	35
110	44	35
111	44	35
112	45	34
113	45	34
114	45	33
115	46	33
116	46	33
117	47	32
118	47	32
119	47	31
120	48	31
121	48	31
122	49	30
123	49	30
124	50	30
125	51	30
126	51	29
127	52	29
128	52	28
129	53	28
130	53	28
131	53	27
132	54	27
133	54	26
134	55	26
135	55	26
136	55	25
137	56	25
138	56	24
139	57	24
140	57	24
141	57	23
142	58	23
143	58	22
144	59	22
145	59	22
146	59	21
147	60	21
148	60	20
149	60	20
150	61	19
151	61	19
152	61	19
153	62	18
154	62	18
155	63	17
156	63	17
157	63	16
158	64	16
159	64	16
160	65	15
161	65	15
162	66	14
163	66	14
164	66	14
165	67	13
166	67	13
167	68	12
168	68	12
169	69	12
170	69	11
171	69	11
172	70	10
173	70	10
174	70	10
175	71	9
176	71	9
177	72	8
178	72	8
179	73	8
180	73	7
181	73	7
182	74	6
183	74	6
184	75	6
185	75	5
186	75	5
187	76	4
188	76	4
189	77	4
190	77	3
191	77	3
192	78	2
193	78	2
194	78	2
195	79	1
196	79	1
197	80	0
198	80	0
199	81	0
